V101_codierer,V102_gruppe,Fallzahl,V103_teilnehmer,V104_start,V105_end,V201_adressat,V202_bezug,V203_thema,V204_bewertung_merkel,V205_bewertung_steinbrueck,V206_persuasion,V300_transkript,V301_primaermuster,V302_sekundaermuster,V401_zustimmung,V402_ablehnung,Dauer,Gewichtungsfaktor,ValideKH
4,1,45,2,0:06:39,0:06:43,80,31,37,9,9,3,"Werkvertrag (.) ist, was wir da hatten in Fleischfabriken oder Schlachtereien.",30,99,0,0,4,1.042,1
4,1,46,1,0:06:44,0:06:45,80,31,37,9,9,3,Das ist aber annähernd das gleiche.,30,99,0,0,1,1.042,1
4,1,47,2,0:07:00,0:07:01,80,71,50,9,1,3,"Nee, da hat er doch gar nichts gesagt.",60,99,0,0,1,1.042,1
4,1,48,2,0:07:25,0:07:26,80,31,37,9,9,3,"Frauen und Männer verdienen heute schon das gleiche, oder nicht?",30,99,0,0,1,1.042,1
4,1,49,1,0:07:29,0:07:31,80,31,37,9,9,3,"Also gut, auf jeden Fall, bei uns der Branche ja.",30,50,0,0,2,1.042,1
4,1,50,2,0:07:33,0:07:33,80,31,37,9,9,3,Bei uns auch.,30,50,0,0,1,1.042,1
4,1,51,2,0:08:01,0:08:03,60,61,41,3,9,2,"GLEICHE, es wird nichts verändert.",60,99,0,0,2,1.042,1
4,1,52,1,0:08:10,0:08:12,80,21,37,2,9,2,"Also, es gibt genügend, die was tun und trotzdem nicht genügend Geld haben.",30,60,0,0,2,1.042,1
4,1,53,2,0:08:13,0:08:13,80,21,37,9,9,3,Banküberfall.,70,99,0,0,1,1.042,1
4,1,54,2,0:08:48,0:09:12,80,21,37,3,9,2,"Dann treten die Leute aus ihren Branchen-Tarifverträgen aus und schon brauchen sie den Mindestlohn nicht mehr zu zahlen. (.) Das geht nur, wenn der Mindestlohn flächendeckend vorgeschrieben wird. Ansonsten gibt es immer Mittel und Wege. So wie bei (unv.) // (.) Da tritt man einfach aus dem Tarifvertrag aus und macht eine Unterfirma auf und schon hat man wieder einen niedrigeren Lohn.",60,30,0,0,24,1.042,1
4,1,55,1,0:09:04,0:09:04,80,21,37,3,9,3,// Ich wollte das gerade sagen.,60,30,0,0,1,1.042,1
4,1,56,1,0:09:50,0:09:52,80,21,37,2,9,3,"Aber erstmal daran zu denken, eine Familie zu haben. (räuspert sich, steht dann auf, holt neue Snacks, nimmt sich davon)",60,99,0,0,2,1.042,1
4,1,57,2,0:11:12,0:11:14,80,31,41,9,3,2,"Wenn ich nichts weiter will, brauch ich auch die Steuern nicht weiter zu erhöhen.",60,99,0,0,2,1.042,1
4,1,59,2,0:11:53,0:11:58,80,21,37,3,9,2,"Ne. (.). Ganz Europa hat Mindeslöhne, nur in Deutschland brauchen wir die nicht, oder wie?",60,30,0,0,5,1.042,1
4,1,60,1,0:12:00,0:12:00,80,21,37,1,9,2,"Ja, wir sind ja trotzdem gut.",60,99,0,0,1,1.042,1
4,1,61,2,0:12:01,0:12:02,80,21,37,3,9,2,Und woanders gibt's auch Gewerkschaften.,60,30,0,0,1,1.042,1
4,1,62,2,0:12:23,0:12:24,99,21,41,3,9,2,Glaub ich nicht.,60,99,0,0,1,1.042,1
4,1,63,1,0:12:55,0:12:57,80,21,41,3,9,2,Nicht jeder Mittelständler gehört ja zu den oberen fünf Prozent.,60,30,0,0,2,1.042,1
4,1,64,2,0:12:59,0:12:59,80,21,41,9,9,3,Nee.,60,99,0,0,1,1.042,1
4,1,65,1,0:13:00,0:13:00,80,21,41,9,9,3,"Ne, genau.",60,99,0,0,1,1.042,1
4,1,66,2,0:13:01,0:13:01,80,21,41,1,9,2,Hat sie auch gar nicht gesagt.,30,99,0,0,1,1.042,1
4,1,67,1,0:13:03,0:13:06,80,21,41,3,9,2,"Ja, aber sie hat gesagt, dass sie denen // nicht in die Tasche greifen.",30,99,0,0,3,1.042,1
4,1,68,2,0:13:04,0:13:04,80,21,41,2,9,3,// Die oberen fünf/,30,99,0,0,1,1.042,1
4,1,69,2,0:13:06,0:13:08,80,21,41,2,2,3,Die oberen fünf Prozent hat nur Steinbrück gesagt.,30,99,0,0,2,1.042,1
4,1,70,1,0:13:08,0:13:11,80,21,41,3,1,2,"Ja, genau, also will er denen auch gar nicht in die Tasche greifen.",30,99,0,0,3,1.042,1
4,1,71,2,0:13:11,0:13:13,80,21,41,3,1,3,"Nee, (.) will er auch nicht.",30,99,0,0,2,1.042,1
4,1,72,1,0:13:13,0:13:13,80,21,41,3,1,3,"Ja, also.",30,99,0,0,1,1.042,1
4,1,73,2,0:13:14,0:13:16,80,21,41,3,1,2,"Nur denen davon, die richtig viel Geld haben.",30,99,0,0,2,1.042,1
4,1,74,1,0:13:17,0:13:19,80,21,41,3,1,2,"Genau, und die können dann trotzdem noch Leute beschäftigen.",60,30,0,0,2,1.042,1
4,1,75,1,0:13:47,0:13:48,99,61,41,9,9,3,(lacht),20,99,0,0,1,1.042,1
4,1,76,2,0:13:56,0:14:01,80,21,41,3,9,2,"""Vorgenommen"". Wenn die Wirtschaft wieder eine andere Richtung einschlägt, dann wird aus diesem Vorhaben nichts.",60,99,0,0,5,1.042,1
4,1,77,2,0:14:36,0:14:44,80,21,41,2,9,2,"Wird wahrscheinlich von vorher nur nicht viel/ // Und eine Neuverschuldung // 2015, da muss ja null rein. (.) Logisch. Aber ist ja auch/",60,30,0,0,8,1.042,1
4,1,78,1,0:14:40,0:14:40,80,21,41,2,9,2,"// Ja, genau.",60,99,0,0,1,1.042,1
4,1,79,1,0:14:47,0:14:48,80,21,41,3,9,1,"Da kommts drauf an, und sie - keine Ahnung (macht eine ausladende Handbewegung).",60,99,0,0,1,1.042,1
4,1,80,2,0:14:48,0:14:48,80,21,41,3,9,2,Hat die auch nicht.,60,99,0,0,1,1.042,1
4,1,81,2,0:15:05,0:15:08,80,71,36,9,9,3,(unv.) (.) Du nicht?,60,99,0,0,3,1.042,1
4,1,82,1,0:15:09,0:15:17,80,71,36,9,9,2,"Klar, (.) aber ich glaub auch nicht, dass sie in absehbarer Zeit die Tendenz besser hat. // Das liegt sehr wahrscheinlich/ Ja genau.",60,99,0,0,8,1.042,1
4,1,83,2,0:15:15,0:15:15,80,71,36,9,9,3,"//Nee, das glaub ich auch nicht.",60,99,0,0,1,1.042,1
4,1,84,2,0:15:17,0:15:18,80,71,36,9,9,2,"Das ist schon gut, wenn sie gleich bleibt, weil sie schon gut ist.",60,99,0,0,1,1.042,1
4,1,85,1,0:15:21,0:15:42,80,71,36,9,9,3,"Nee die wird echt. (.) Na ja, das kann man so nicht sagen. (.) Das hängt bei uns ja noch von Faktoren ab. Und ich finde so, die wird immer wieder noch ein bisschen anders, die kippt nochmal ein bisschen, wenn Jonas aus der Schule rauskommt (.), weil wir dann nochmal so richtig in die Tasche greifen müssen. (.) Um nur zu sagen, Kinder sind teuer. Und DER wird teuer.",50,99,0,0,21,1.042,1
4,1,86,1,0:15:53,0:15:53,99,31,38,9,1,3,Hmm. (bestätigendes Hmm),60,99,0,0,1,1.042,1
4,1,87,2,0:16:52,0:16:54,80,21,41,2,9,2,Schwierig heißt nicht unmöglich! Oder?,40,60,0,0,2,1.042,1
4,1,88,1,0:17:28,0:17:32,80,21,38,3,9,2,Was? Hallo. (..) Das passt gar nicht dazu.,60,99,0,0,4,1.042,1
4,1,89,2,0:17:34,0:17:56,80,21,38,3,9,2,"Nee, das passt nie dazu, was sie sagt. (.) Oder häufig. ( 6 ) Was hat Kurzarbeitergeld mit der Maut zu tun? ( 7 ) Die Frage wurde doch gar nicht beantwortet, oder?",60,30,0,0,22,1.042,1
4,1,90,1,0:17:46,0:17:47,80,21,38,3,9,2,(hebt den Arm fragend in die Luft),99,99,0,1,1,1.042,1
4,1,91,1,0:17:56,0:18:00,80,21,38,3,9,2,"Nee. Also ich hab's noch nicht verstanden, weil ich bin ja auch/",60,30,0,0,4,1.042,1
4,1,92,2,0:18:07,0:18:08,80,21,38,3,9,2,"""Ich sage nochmal"". Sie hat doch gar nichts gesagt. (lacht)",60,70,0,0,1,1.042,1
4,1,93,1,0:18:15,0:18:15,80,21,15,9,9,3,Tja.,20,99,0,0,1,1.042,1
4,1,97,1,0:21:02,0:21:03,80,31,41,9,3,2,Wieso geht die nicht?,30,60,0,0,1,1.042,1
4,1,98,2,0:21:03,0:21:12,80,31,41,9,9,2,"Weil die wahrscheinlich mit EU-Recht nicht vereinbar ist, das weiß ich nicht. Aber wird wohl sein. Kannst wahrscheinlich nicht sagen, nur Ausländer zahlen und die Deutschen nicht.",30,99,0,0,9,1.042,1
4,1,99,1,0:21:12,0:21:14,80,31,41,9,9,3,Ja zahlen die Franzosen in Frankreich auch?,30,99,0,0,2,1.042,1
4,1,100,2,0:21:14,0:21:14,80,31,41,9,9,3,Ja natürlich.,30,99,0,0,1,1.042,1
4,1,101,1,0:21:15,0:21:16,80,31,41,9,1,2,"Achso, ja gut, dann geht das nicht.",60,30,0,0,1,1.042,1
4,1,102,2,0:21:17,0:21:24,80,31,41,9,9,2,Du kannst höchstens eine flächendeckende Maut einführen und dann die deutschen Autofahrer bei der Kfz-Steuer entlasten. (.) Dass das dann neutral ist einigermaßen.,30,99,0,0,7,1.042,1
4,1,103,2,0:21:56,0:22:01,80,21,41,9,9,3,"(lacht) (..) Wenn Horst Seehofer dann das ernst meint, dann gibt es auch keine Koalition.",60,99,0,0,5,1.042,1
4,1,104,1,0:22:03,0:22:04,80,21,41,9,9,3,"Na, dafür ist er auch zu sehr daran interessiert //",60,99,0,0,1,1.042,1
4,1,105,2,0:22:05,0:22:09,80,21,41,9,9,3,// Was interessiert mich das Geschwätz von gestern. // Hat schon Konrad Adenauer gesagt.,60,99,0,0,4,1.042,1
4,1,106,1,0:22:07,0:22:07,80,21,41,9,9,3,// Genau. //,60,99,0,0,1,1.042,1
4,1,107,1,0:22:20,0:22:24,80,21,41,3,9,2,"Guck mal, wie einfach man das beantworten kann, wenn einen einer darauf einmal festnagelt.",40,60,0,0,4,1.042,1
4,1,108,1,0:23:22,0:23:24,80,31,38,9,9,3,"Die KfW hängt auch überall mit drin, ne.",30,99,0,0,2,1.042,1
4,1,109,2,0:23:25,0:23:25,80,31,38,9,9,3,Hmm. (bestätigendes Hmm),30,99,0,0,1,1.042,1
4,1,110,2,0:23:49,0:23:49,80,31,38,3,9,2,Nichts. (atmet schwer),60,99,0,0,1,1.042,1
4,1,111,2,0:24:30,0:24:31,80,31,38,9,1,2,Absolut. Ist auch so.,60,99,0,0,1,1.042,1
4,1,112,2,0:24:50,0:24:51,80,31,38,9,1,2,Sonst hätte es ja gar nichts gegeben.,60,99,0,0,1,1.042,1
4,1,113,1,0:25:29,0:25:30,80,21,38,3,1,2,"Na gut, aber sie haben's getan. Mh.",60,99,0,0,1,1.042,1
4,1,114,2,0:25:29,0:25:29,80,21,38,3,1,2,Ja. (zustimmend),60,99,0,0,1,1.042,1
4,1,115,2,0:25:57,0:25:57,80,21,38,9,9,3,Strukturelle.,30,99,0,0,1,1.042,1
4,1,116,1,0:26:15,0:26:15,80,21,38,1,9,2,Ja.,60,99,0,0,1,1.042,1
4,1,117,2,0:26:16,0:26:18,80,21,38,1,9,2,"Mit falschen Zahlen, die die aber selbst geliefert haben.",60,30,0,0,2,1.042,1
4,1,118,1,0:26:20,0:26:20,80,21,38,9,9,2,Die Griechen?,30,99,0,0,1,1.042,1
4,1,119,2,0:26:21,0:26:21,80,21,38,9,9,2,Ja.,30,99,0,0,1,1.042,1
4,1,120,1,0:26:21,0:26:23,80,21,38,9,9,2,"Das wussten die aber doch, dass die nicht ganz so/",30,99,0,0,2,1.042,1
4,1,121,2,0:26:25,0:26:35,80,21,38,9,9,2,"Ja, die haben falsche Zahlen offengelegt. (.) Wir wurden also beschissen, um es mal auf gut Deutsch zu sagen. Deswegen sind die aufgenommen worden, unter falschen Voraussetzungen.",30,60,0,0,10,1.042,1
4,1,122,1,0:26:36,0:26:39,80,21,38,9,9,2,"Die Frage ist ja, ob es WIRKLICH keiner wusste, dass das ein bisschen/",30,60,0,0,3,1.042,1
4,1,123,2,0:26:39,0:26:47,80,21,38,9,9,2,"Keine Ahnung. (.) Und dann, im Grunde kann man das ja auch verstehen, dass sie da teilnehmen wollen und dann ein großes//",60,30,0,0,8,1.042,1
4,1,124,1,0:26:48,0:26:49,80,21,38,9,9,3,//Risiko eingehen.//,30,99,0,0,1,1.042,1
4,1,125,2,0:26:49,0:26:54,80,21,38,9,9,2,"// Einen großen Anreiz haben, falsche Zahlen zu liefern, um es zu erreichen. (.) Da kann man auch keinen Vorwurf machen.",60,30,0,0,5,1.042,1
4,1,126,1,0:26:51,0:26:51,80,21,38,9,9,3,Ja.,60,99,0,0,1,1.042,1
4,1,127,2,0:29:08,0:29:16,30,31,38,9,1,2,"Gezwungen, die Zinsen niedrig zu halten. (4) Geldmarktpolitik, ganz normal.",60,40,0,0,8,1.042,1
4,1,128,2,0:30:36,0:30:47,80,31,38,9,1,2,"Genau. (.) Irgendwann sollen die ja wieder auf eigenen Füßen stehen. // Ist die einzige Möglichkeit, da rauszukommen. (.) Kannst ja nicht auf Dauer irgendwelche Länder unterstützen.",60,30,0,0,11,1.042,1
4,1,129,1,0:30:40,0:30:41,80,31,38,9,1,2,"//Wäre schön, oder.",60,99,0,0,1,1.042,1
4,1,130,2,0:31:06,0:31:08,20,31,38,3,1,1,"Muss man nichts ordnen, der ist der einzige, der Ahnung davon hat.",60,99,0,0,2,1.042,1
4,1,131,1,0:31:11,0:31:12,80,10,50,9,9,3,Steht da unten jetzt elf?,30,99,0,0,1,1.042,1
4,1,132,2,0:31:14,0:31:15,80,10,50,9,9,3,"Das ist nur die Zeit, oder?",30,99,0,0,1,1.042,1
4,1,133,1,0:31:15,0:31:17,80,10,50,9,9,3,"Ja, wollte ich ja nur gucken, aber ich kann nicht so weit gucken.",30,99,0,0,2,1.042,1
4,1,134,2,0:31:35,0:31:39,99,21,38,3,9,2,"Aber das Geld verliert an Wert. Das heißt, es kostet schon jeden Sparer Geld.",60,30,0,0,4,1.042,1
4,1,135,2,0:32:06,0:32:07,80,21,38,3,9,2,Das ist aber mal eine Aussage.,60,99,0,0,1,1.042,1
4,1,136,1,0:32:11,0:32:15,80,21,38,3,9,2,"Ja, das klappt ja auch nicht. (..) War auch länger.",60,99,0,0,4,1.042,1
4,1,137,2,0:33:28,0:33:29,80,21,38,3,9,2,Wo steigen die denn?,30,60,0,0,1,1.042,1
4,1,138,1,0:33:31,0:33:31,80,21,38,9,9,3,(bestätigendes Hmm),30,60,0,0,1,1.042,1
4,1,139,2,0:33:31,0:33:32,80,21,38,3,9,2,Auf meinem Konto nicht.,50,60,0,0,1,1.042,1
4,1,140,1,0:33:33,0:33:34,80,21,38,9,9,3,Ich hab noch nicht geguckt.,50,99,0,0,1,1.042,1
4,1,141,2,0:33:37,0:33:38,80,21,38,9,9,3,Die sind zuletzt noch gesunken.,30,99,0,0,1,1.042,1
4,1,142,1,0:33:39,0:33:40,80,21,38,9,9,3,"Wie, unter 0,5?",30,99,0,0,1,1.042,1
4,1,143,2,0:33:41,0:33:48,80,21,38,9,9,3,"Nee, aber von 0,75 auf 0,5, glaube ich. (.) Oder von 0,65 auf 0,5.",30,99,0,0,7,1.042,1
4,1,144,2,0:33:56,0:34:01,80,21,38,2,9,3,Die Wählerinnen und Wähler. Können ja auch Kinder zugucken. Die entscheiden gar nichts.,60,30,0,0,5,1.042,1
4,1,145,1,0:33:58,0:33:58,80,21,38,2,9,3,Ja.,60,30,0,0,1,1.042,1
4,1,146,1,0:34:18,0:34:19,80,32,99,9,9,3,(lacht laut) Der kann gucken!,20,70,0,0,1,1.042,1
4,1,147,1,0:35:12,0:35:15,99,31,41,9,9,3,(lacht),20,99,0,0,3,1.042,1
4,1,148,2,0:35:12,0:35:13,99,31,41,9,9,3,(lacht),20,99,0,0,1,1.042,1
4,1,149,1,0:35:19,0:35:21,80,32,99,9,1,3,"Wusste gar nicht, dass der auch komisch sein kann.",60,99,0,0,2,1.042,1
4,1,150,2,0:35:21,0:35:31,80,31,41,3,1,2,"Leisetreterei, das ist genau das// was die letzten vier Jahre kennzeichnet. (...) Aber manchmal muss man auch laut sein.",60,99,0,0,10,1.042,1
4,1,151,1,0:35:23,0:35:24,80,31,41,3,1,2,"//Ja, das ist so ein Wort für sich. Ja.",60,99,0,0,1,1.042,1
4,1,152,1,0:36:00,0:36:01,80,51,37,9,9,1,Das find ich peinlich.,60,99,0,0,1,1.042,1
4,1,153,2,0:36:07,0:36:11,80,51,37,9,9,2,"Frieda macht auch einen zwieten Job. Aber das ist nicht, dass die sagen, wir machen den, um über die Runden kommen.",50,30,0,0,4,1.042,1
4,1,154,1,0:36:11,0:36:16,80,51,37,9,9,2,"Na ja, sagen wir mal so. Es gibt genügend Leute, die machen das wirklich, um über die Runden zu kommen.",30,60,0,0,5,1.042,1
4,1,155,2,0:36:16,0:36:20,80,51,37,9,9,2,"Ja ja, aber manche machen das doch nur, um bisschen mehr Geld zu haben.",30,60,0,0,4,1.042,1
4,1,156,1,0:36:26,0:36:34,80,51,37,9,9,2,"Ja. Und das würdest du vielleicht auch immer noch machen, wenn du einen garantierten Mindestlohn von 8,50 Euro hättest. (.) Nur, um etwas besser leben zu können als//",30,60,0,0,8,1.042,1
4,1,157,2,0:36:34,0:36:36,80,51,37,9,9,2,"// Ja, im Ergebnis ist es schlecht, unmoralisch.",60,99,0,0,2,1.042,1
4,1,158,1,0:36:43,0:36:49,80,51,37,9,9,2,"Müssten wir beide Großen unterstützen, Peter, dann hätte ich mir auch einen Zweitjob gesucht. Oder aufgestockt.",50,60,0,0,6,1.042,1
4,1,159,2,0:36:50,0:36:51,80,51,37,9,9,2,"Ja, um sich mehr leisten zu können.",50,60,0,0,1,1.042,1
4,1,160,1,0:36:51,0:37:21,80,51,37,9,9,2,"Ja, und um nicht nur wegen meiner Kinder mein Gehalt bei denen abzugeben. Und zwar eigentlich mehr als mein Gehalt.",50,60,0,0,30,1.042,1
4,1,162,1,0:37:10,0:37:20,80,51,37,9,9,2,"Und letztendlich muss man mal so sagen, wenn unser Jüngster studiert, dann trage ich mein Gehalt fast zu ihm, wenn er nicht in Münster studiert.",50,60,0,0,10,1.042,1
4,1,163,2,0:37:21,0:37:21,80,51,37,9,9,2,Ja.,50,60,0,0,1,1.042,1
4,1,164,1,0:37:22,0:37:24,80,51,37,9,9,2,"So, und da können wir auch nichts gegen machen",60,50,0,0,2,1.042,1
4,1,165,2,0:37:24,0:37:26,80,51,37,9,9,2,Nee. (.) Sollten wir vielleicht auch gar nicht.,60,50,0,0,2,1.042,1
4,1,166,1,0:37:26,0:37:27,80,51,37,9,9,2,"Nein, will ich ja auch nicht.",60,50,0,0,1,1.042,1
4,1,170,1,0:38:06,0:38:14,80,21,37,1,9,2,"Und dann wieder über die Lücke wieder rein. (4) Schön, dass sie's erkannt haben.",60,99,0,0,8,1.042,1
4,1,171,2,0:38:16,0:38:18,80,21,37,9,9,3,Hab ich jetzt gar nicht verstanden.,30,99,0,0,2,1.042,1
4,1,172,1,0:38:18,0:38:31,80,21,37,9,9,3,"Also es gab Leute, die haben Mitarbeiter entlassen, die sind zu einer Leiharbeitsfirma gegangen und der gleiche Betrieb hat sie über Leiharbeit wieder eingestellt. Aber zu einem wesentlich geringeren Lohn. Und dieses Hintertürchen gibt's nicht mehr",30,99,0,0,13,1.042,1
4,1,173,2,0:38:31,0:38:33,80,21,37,9,9,3,"Oder werden die jetzt gar nicht mehr eingestellt, die Entlassenen.",30,60,0,0,2,1.042,1
4,1,174,1,0:38:34,0:38:36,80,21,37,9,9,3,"Na gut, ich meine, wenn du entlassen bist, bist du entlassen.",60,99,0,0,2,1.042,1
4,1,175,2,0:38:36,0:38:36,80,21,37,9,9,3,Ja.,60,99,0,0,1,1.042,1
4,1,176,1,0:38:38,0:38:42,80,21,37,9,9,3,Aber manche haben das ja mit der Absicht gemacht. // (.) Anscheinend.,30,60,0,0,4,1.042,1
4,1,177,2,0:38:40,0:38:40,80,21,37,9,9,3,// Ja.,30,60,0,0,1,1.042,1
4,1,178,2,0:39:00,0:39:01,80,41,50,9,9,3,Fünf Minuten Unterschied.,30,99,0,0,1,1.042,1
4,1,179,1,0:39:02,0:39:02,80,41,50,9,9,3,Ja.,30,99,0,0,1,1.042,1
4,1,180,1,0:39:08,0:39:08,99,41,37,9,9,3,(bestätigendes Hmm),60,99,0,0,1,1.042,1
4,1,181,1,0:39:14,0:39:14,99,41,37,9,9,2,Ne. (Kopfschütteln),60,99,0,1,1,1.042,1
4,1,182,1,0:39:22,0:39:23,99,31,37,9,9,3,(lacht),20,99,0,0,1,1.042,1
4,1,183,1,0:39:34,0:39:34,99,31,37,9,1,2,Ja. (nickt),60,99,1,0,1,1.042,1
4,1,184,2,0:39:37,0:39:37,99,31,37,9,1,2,Genau.,60,99,0,0,1,1.042,1
4,1,185,1,0:39:39,0:39:53,80,31,37,9,1,2,"Das, das ist extrem/ Also so ein kleiner Tacken davon ist ja schon, von Leuten, die neu eingestellt werden in unseren Betrieben, und unter anderen Bedingungen jetzt als bei uns, ne, mit diesem TVÖD, die fangen ja unter schlechteren Bedingungen an, um die gleichen Sachen zu machen.",50,60,0,0,14,1.042,1
4,1,186,2,0:39:54,0:39:57,80,31,37,9,1,2,"Das ist bei uns ja genau so. Ist ja nicht TVÖD, aber // die Bedingungen sind schlechter.",50,60,0,0,3,1.042,1
4,1,187,1,0:39:55,0:39:55,80,31,37,9,1,2,"//Nee, aber das ist unfair.",60,99,0,0,1,1.042,1
4,1,188,1,0:39:56,0:40:01,80,31,37,9,1,2,"Ja, (..) und das schafft auch nicht das beste Klima untereinander.",60,99,0,0,5,1.042,1
4,1,189,2,0:40:01,0:40:01,80,31,37,9,1,2,Ja.,60,99,0,0,1,1.042,1
4,1,190,2,0:40:19,0:40:20,30,31,36,9,2,2,Die müssen korrigiert werden.,60,99,0,0,1,1.042,1
4,1,191,2,0:40:42,0:40:44,99,31,36,9,9,3,(lacht),20,99,0,0,2,1.042,1
4,1,192,2,0:41:21,0:41:26,40,41,37,9,9,3,"Nee, die macht ja was ganz anderes. Eben nicht flächendeckend. Hat sie doch nicht geklaut.",30,99,0,0,5,1.042,1
4,1,193,1,0:41:27,0:41:33,80,41,37,9,9,3,"Ja, vorhin hat sie gesagt, sie will gar keinen. Sondern sie sagt, der Mindestlohn müssen die Tarif- // Parteien unter sich ausmachen.",30,99,0,0,6,1.042,1
4,1,194,2,0:41:32,0:41:32,80,41,37,9,9,3,//Ja.,30,99,0,0,1,1.042,1
4,1,195,2,0:41:34,0:41:35,80,41,37,9,9,3,Das ist ja kein Mindestlohn.,30,99,0,0,1,1.042,1
4,1,196,2,0:42:05,0:42:09,99,31,37,9,9,3,Genau. (...) Deswegen hat sie das Thema auch nicht geklaut.,30,99,0,0,4,1.042,1
4,1,197,2,0:42:28,0:42:29,80,31,36,3,1,2,Das ist Schrott. (räuspert sich),60,99,0,0,1,1.042,1
4,1,198,1,0:42:29,0:42:29,80,31,36,3,1,3,Ja.,60,99,0,0,1,1.042,1
4,1,199,2,0:42:30,0:42:31,80,31,36,3,1,2,Genau so Schrott wie Riester.,60,99,0,0,1,1.042,1
4,1,200,2,0:43:10,0:43:10,99,41,20,9,9,2,Absolut.,60,99,0,0,1,1.042,1
4,1,201,1,0:43:11,0:43:13,80,41,20,9,9,3,"(lacht) Ja, das glaubt sie, damit/",20,20,0,0,2,1.042,1
